ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.369061,0.55,0.461538,0.992271,0.48,13.769405,100,55,13,6,7,0.4905773899228697,0.7115387724049119,,
1,4.216383,0.608247,0.6,0.996334,0.587629,13.928807,97,59,5,3,2,0.49845796965755496,0.5022759675543721,,
2,4.000422,0.625,0.466667,0.995648,0.541667,13.22216,96,60,15,7,8,0.4635226160910072,0.20627715387903497,,
3,4.55693,0.536082,0.421053,0.993487,0.42268,13.214107,97,52,19,8,11,0.46312447429695575,0.9690343906968413,,
4,4.270241,0.490196,0.285714,0.996019,0.392157,13.953966,102,50,14,4,10,0.4997017535367278,0.5760941371076572,,
5,4.139161,0.576577,0.315789,0.99587,0.459459,13.761111,111,64,19,6,13,0.49016735844246917,0.39643524638011285,,
6,4.147169,0.623853,0.380952,0.993251,0.504587,13.322616,109,68,21,8,13,0.46848899299826385,0.4074104469156836,,
7,4.179566,0.509091,0.5,0.993908,0.436364,13.743954,110,56,16,8,8,0.4893191370746087,0.4518141081053841,,
8,4.186409,0.587629,0.777778,0.995188,0.546392,13.212258,97,57,18,14,4,0.46303308481448296,0.4611937418561816,,
9,4.227308,0.60396,0.5625,0.994972,0.534653,14.029388,101,61,16,9,7,0.5034305174430468,0.5172507856947045,,
10,4.367049,0.625,0.47619,0.994137,0.510417,13.938319,96,60,21,10,11,0.49892820685822326,0.7087805289609892,,
11,4.069426,0.6,0.545455,0.994913,0.552381,13.024255,105,63,11,6,5,0.4537385594172399,0.3008553815101681,,
12,4.307732,0.59596,0.571429,0.993754,0.505051,13.649326,99,59,21,12,9,0.4846409210689913,0.6274807340252462,,
13,4.345675,0.598131,0.428571,0.992918,0.523364,13.375738,107,64,14,6,8,0.47111520748046054,0.6794853368752932,,
14,4.485955,0.605769,0.3125,0.994524,0.394231,13.961133,104,63,32,10,22,0.5000561042399653,0.8717551849296329,,
15,4.109721,0.604167,0.291667,0.997046,0.427083,13.410553,96,58,24,7,17,0.4728364355690534,0.3560839680882237,,
16,4.478086,0.539216,0.56,0.997026,0.431373,15.151859,102,55,25,14,11,0.5589234027361705,0.8609695753523091,,
17,4.207631,0.542056,0.434783,0.994765,0.420561,13.395527,107,58,23,10,13,0.4720935500413364,0.49027991784714997,,
18,4.412231,0.588235,0.533333,0.993587,0.519608,14.053463,102,60,15,8,7,0.5046207238130348,0.7707080258702708,,
19,4.072921,0.515152,0.555556,0.996906,0.474747,14.491108,99,51,9,5,4,0.526257084918764,0.30564457106653675,,
20,4.128454,0.564815,0.6,0.996516,0.527778,13.15586,108,61,10,6,4,0.4602448731394476,0.3817589525584183,,
21,4.279258,0.591398,0.5,0.995628,0.526882,13.48629,93,55,12,6,6,0.47658073212362584,0.5884536565353089,,
22,4.071436,0.588235,0.454545,0.997099,0.517647,13.670586,85,50,11,5,6,0.4856919543068876,0.3036103752820178,,
23,4.517344,0.594059,0.517241,0.994303,0.455446,13.793234,101,60,29,15,14,0.49175544982068087,0.9147776704803315,,
24,4.236647,0.645161,1.0,0.997186,0.645161,13.65959,93,60,5,5,0,0.48514834662838846,0.5300506245451199,,
25,4.245094,0.712766,0.4,0.994855,0.617021,13.592544,94,67,15,6,9,0.4851824201910004,0.5416273969119487,,
26,4.303763,0.475248,0.357143,0.995872,0.386139,13.696291,101,48,14,5,9,0.49027834088334615,0.6220411011927915,,
27,4.328177,0.590476,0.333333,0.995041,0.495238,13.872135,105,62,15,5,10,0.49891555105172475,0.6555024129347219,,
28,4.094619,0.633663,0.5,0.995687,0.574257,13.675054,101,64,12,6,6,0.48923522151260407,0.3353843034640744,,
29,4.337412,0.639175,0.666667,0.997119,0.587629,13.888789,97,62,15,10,5,0.4997335871406208,0.6681605378941601,,
