ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.302662,0.400662,0.328571,0.992334,0.245033,13.18333,302,121,70,23,47,0.4417286295913714,0.45728334401932275,,
1,4.342611,0.33,0.512821,0.995217,0.266667,13.281696,300,99,39,20,19,0.4462871931663392,0.49763349485951197,,
2,4.236845,0.367003,0.328358,0.994749,0.215488,13.882313,297,109,67,22,45,0.47412152558592596,0.3908056312251217,,
3,4.491837,0.364912,0.285714,0.993067,0.17193,13.655416,285,104,77,22,55,0.46360644592167655,0.648357281886417,,
4,4.311473,0.359155,0.47541,0.996209,0.246479,13.720584,284,102,61,29,32,0.4666265552956016,0.4661827407466316,,
5,4.48926,0.37037,0.320513,0.995084,0.191919,13.765809,297,110,78,25,53,0.4687223966943109,0.645753877132518,,
6,4.316263,0.371795,0.421053,0.993785,0.266026,13.560427,312,116,57,24,33,0.4592044161187748,0.4710211287193462,,
7,4.347682,0.369281,0.396226,0.994457,0.264706,13.588528,306,113,53,21,32,0.4605066654306827,0.5027555477220544,,
8,4.48544,0.326984,0.4,0.99407,0.212698,13.81634,315,103,60,24,36,0.47106414056435847,0.6418954999722678,,
9,4.173838,0.348684,0.397059,0.99554,0.213816,13.59281,304,106,68,27,41,0.4607051315938397,0.32716607833175,,
10,4.233358,0.384615,0.387755,0.995163,0.27972,13.464005,286,110,49,19,30,0.4547358977232059,0.38728399255604135,,
11,4.47918,0.390411,0.285714,0.993228,0.133562,13.520057,292,114,105,30,75,0.45733353414005784,0.635573372319759,,
12,4.29255,0.374558,0.359375,0.995662,0.229682,13.858329,283,106,64,23,41,0.4730100595512818,0.4470703562514061,,
13,4.634538,0.304762,0.375,0.996299,0.177778,14.54552,315,96,64,24,40,0.5048564583665323,0.7924908872075644,,
14,4.565125,0.382143,0.328947,0.991126,0.2,13.374824,280,107,76,25,51,0.45060300873649056,0.7223806918672323,,
15,4.236548,0.36129,0.362069,0.994587,0.241935,13.171958,310,112,58,21,37,0.4412016333500309,0.3905058057521626,,
16,4.336126,0.348993,0.428571,0.997703,0.241611,13.78248,298,104,56,24,32,0.46949495846655526,0.4910833258235225,,
17,4.439877,0.342949,0.328125,0.991391,0.205128,13.160028,312,107,64,21,43,0.44064872444753855,0.5958756792833019,,
18,4.373884,0.371237,0.52459,0.994545,0.274247,13.101525,299,111,61,32,29,0.43793756266497724,0.5292207171164018,,
19,4.667158,0.309524,0.469388,0.994322,0.221088,14.159599,294,91,49,23,26,0.48697178035650096,0.8254377212987167,,
20,4.45204,0.400709,0.329545,0.994781,0.191489,13.096795,282,113,88,29,59,0.4377183191429058,0.6081603925607487,,
21,4.24927,0.414894,0.309524,0.995102,0.20922,13.280656,282,117,84,26,58,0.446238982712685,0.4033560760605291,,
22,4.382357,0.357377,0.381818,0.996122,0.245902,13.705972,305,109,55,21,34,0.46594937224639305,0.5377783286795185,,
23,4.665678,0.322581,0.357143,0.991376,0.177419,13.454394,310,100,70,25,45,0.45429050878589017,0.8239428384316233,,
24,4.452849,0.331269,0.452055,0.99366,0.20743,13.211775,323,107,73,33,40,0.4430468423606995,0.6089781544389112,,
25,4.280614,0.377163,0.419355,0.9963,0.252595,14.171182,289,109,62,26,36,0.48181621146734793,0.43501394902201124,,
26,4.141683,0.370242,0.4,0.993713,0.266436,13.015806,289,107,50,20,30,0.42889793140747906,0.2946893244849537,,
27,4.336434,0.347682,0.405063,0.994962,0.192053,13.589799,302,105,79,32,47,0.4551878430847872,0.49139453954646856,,
28,4.309381,0.360927,0.383333,0.993437,0.238411,13.246987,302,109,60,23,37,0.4394864273500262,0.46407020581070013,,
29,4.27096,0.374558,0.410256,0.994126,0.293286,13.613975,283,106,39,16,23,0.4562951293068039,0.42526372254369976,,
