ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.686572,0.337531,0.362637,0.99223,0.191436,13.927217,397,134,91,33,58,0.45083718365450454,0.8450462560519233,,
1,4.309231,0.332518,0.325581,0.994874,0.190709,13.979756,409,136,86,28,58,0.45314227670546825,0.46391851547051494,,
2,4.27831,0.3309,0.325,0.99417,0.199513,13.521326,411,136,80,26,54,0.43302893203084775,0.43268755450298574,,
3,4.241666,0.350877,0.361702,0.996631,0.200501,13.401973,399,140,94,34,60,0.4277924197965081,0.39567493398078046,,
4,4.118007,0.335714,0.45977,0.997066,0.22381,13.361961,420,141,87,40,47,0.4260368940791411,0.2707748395466536,,
5,4.299766,0.372449,0.382022,0.995165,0.232143,13.595812,392,146,89,34,55,0.4362969918654918,0.45435839385845234,,
6,4.286152,0.339759,0.378788,0.994889,0.240964,13.757227,415,141,66,25,41,0.4433789771892546,0.44060736963140684,,
7,4.329863,0.349741,0.353659,0.995379,0.212435,13.798573,386,135,82,29,53,0.44519300583826354,0.4847576414606115,,
8,4.417241,0.355231,0.419355,0.995526,0.223844,13.802725,411,146,93,39,54,0.4472125195917455,0.5730125743524219,,
9,4.333276,0.348148,0.351852,0.995213,0.175309,13.424982,405,141,108,38,70,0.43069415921051113,0.48820470670055055,,
10,4.151111,0.375,0.531915,0.994895,0.315217,13.168292,368,138,47,25,22,0.41946934002938535,0.30421128892487737,,
11,4.434971,0.364557,0.378378,0.991231,0.248101,12.981602,395,144,74,28,46,0.41130556789849176,0.59092004224078,,
12,4.320829,0.355,0.384615,0.994695,0.195,13.587894,400,142,104,40,64,0.43781814731511454,0.4756329216055758,,
13,4.517864,0.354592,0.373737,0.994547,0.196429,14.171596,392,139,99,37,62,0.46334289993033045,0.6746452799137673,,
14,4.396513,0.346154,0.408163,0.992662,0.206731,13.536352,416,144,98,40,58,0.4355642721916906,0.55207629712116,,
15,4.307592,0.371795,0.474359,0.995406,0.266667,13.276526,390,145,78,37,41,0.42420233978991256,0.4622630021118518,,
16,4.586846,0.309756,0.382022,0.992327,0.17561,13.238627,410,127,89,34,55,0.422545026670031,0.7443199516869978,,
17,4.184183,0.33012,0.396825,0.9946,0.238554,13.325483,415,137,63,25,38,0.4263431743978861,0.3376153002309947,,
18,4.552087,0.374408,0.336364,0.990889,0.201422,12.562614,422,158,110,37,73,0.3929836147092847,0.7092120923163753,,
19,4.324432,0.351621,0.306122,0.995244,0.182045,13.67389,401,141,98,30,68,0.44157867044154847,0.47927187364440527,,
20,4.249733,0.354005,0.38961,0.993979,0.232558,13.386555,387,137,77,30,47,0.42901379332845135,0.4038228557276745,,
21,4.467213,0.35109,0.363636,0.994035,0.215496,14.095122,413,145,88,32,56,0.4599987469689892,0.6234862278003205,,
22,4.330025,0.359897,0.301075,0.994512,0.192802,13.826364,389,140,93,28,65,0.44824622337365533,0.48492101220678213,,
23,4.469927,0.370466,0.360825,0.992101,0.209845,13.411127,386,143,97,35,62,0.43008829974535134,0.6262269600981555,,
24,4.289402,0.356974,0.453333,0.993943,0.260047,13.035891,423,151,75,34,41,0.4136795883895961,0.44389062117550687,,
25,4.293431,0.322034,0.430233,0.996472,0.20339,13.789442,413,133,86,37,49,0.44663165080831524,0.44796010764080957,,
26,4.273384,0.325926,0.296875,0.994944,0.214815,13.557334,405,132,64,19,45,0.4364817832367373,0.4277116350416984,,
27,4.488276,0.346939,0.401869,0.993111,0.183673,13.054736,392,136,107,43,64,0.41450365165286135,0.6447603631706496,,
28,4.217846,0.344828,0.22973,0.994278,0.204433,13.558815,406,140,74,17,57,0.4365465742299531,0.37161619133998325,,
29,4.292244,0.336634,0.305882,0.995295,0.190594,13.767747,404,136,85,26,59,0.4456829774873442,0.446761379587948,,
