ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.594376,0.454545,0.38806,0.99192,0.258373,13.665435,209,95,67,26,41,0.4624965305524425,1.0,,
1,4.629207,0.421053,0.435484,0.994243,0.236842,13.951019,190,80,62,27,35,0.4757701978383966,1.0,,
2,4.211455,0.411504,0.368421,0.995493,0.252212,13.419628,226,93,57,21,36,0.4510716394760554,0.46392837357711286,,
3,4.457116,0.333333,0.5,0.996973,0.268657,14.353817,201,67,26,13,13,0.49449183285625875,0.7791677870019099,,
4,4.284564,0.380734,0.369565,0.995255,0.247706,13.467273,218,83,46,17,29,0.4532861558410925,0.557743408090052,,
5,4.643545,0.395,0.415094,0.99335,0.24,13.562935,200,79,53,22,31,0.45773240048226316,1.0,,
6,4.019207,0.400966,0.380952,0.995766,0.338164,13.80525,207,83,21,8,13,0.4689950042496369,0.21330561428052253,,
7,4.318586,0.403941,0.409091,0.99492,0.275862,14.337325,203,82,44,18,26,0.49372531345309206,0.5905372565456338,,
8,4.418122,0.405,0.27451,0.993215,0.22,13.217118,200,81,51,14,37,0.44165917627706336,0.7159565237418893,,
9,4.398216,0.407583,0.37037,0.99428,0.246445,13.711792,211,86,54,20,34,0.46465113589525775,0.6908739971510595,,
10,4.32357,0.441624,0.358491,0.995076,0.269036,13.570613,197,87,53,19,34,0.4580893024160651,0.5968165026336165,,
11,4.141436,0.427184,0.396825,0.995173,0.242718,13.58041,206,88,63,25,38,0.45854464361720015,0.36732029759254314,,
12,4.215828,0.42439,0.405405,0.996627,0.317073,13.635405,205,87,37,15,22,0.4611007734126784,0.4610568455097742,,
13,4.572966,0.366197,0.288462,0.991573,0.192488,13.475785,213,78,52,15,37,0.45368178448019963,0.9110668372778383,,
14,4.229192,0.352941,0.465116,0.995941,0.248869,14.052148,221,78,43,20,23,0.48047056405443994,0.4778959551636347,,
15,4.29891,0.458763,0.44186,0.993147,0.335052,13.041382,194,89,43,19,24,0.43349115808676303,0.5657440966681675,,
16,4.295644,0.419192,0.606061,0.995865,0.353535,13.220841,198,83,33,20,13,0.44183220506591486,0.5616287042679691,,
17,4.493081,0.370732,0.313725,0.994922,0.2,14.145188,205,76,51,16,35,0.4847949541036504,0.8104083753528434,,
18,4.334035,0.413265,0.452381,0.996157,0.295918,14.245311,196,81,42,19,23,0.4894485830001798,0.6100038397904143,,
19,4.524003,0.365482,0.351351,0.994995,0.243655,13.980234,197,72,37,13,24,0.47712806726115214,0.8493710756959914,,
20,4.396828,0.373786,0.266667,0.992681,0.26699,13.576792,206,77,30,8,22,0.4583764916143473,0.6891251911145555,,
21,4.496616,0.428571,0.425,0.994829,0.311224,14.350446,196,84,40,17,23,0.4943351509515711,0.8148624424321378,,
22,4.220585,0.366197,0.433333,0.995571,0.286385,13.257273,213,78,30,13,17,0.4435255462584705,0.4670511069847292,,
23,4.436135,0.393035,0.396226,0.992824,0.233831,12.75381,201,79,53,21,32,0.42012506890517004,0.7386536499210974,,
24,4.125529,0.442708,0.456522,0.993317,0.3125,12.868578,192,85,46,21,25,0.42545937251562627,0.3472767482854844,,
25,4.207824,0.435644,0.542857,0.995395,0.356436,13.839614,202,88,35,19,16,0.4705921729403336,0.4509723998366897,,
26,4.383853,0.402985,0.410256,0.995156,0.288557,13.558184,201,81,39,16,23,0.4575116158358549,0.6727765452915023,,
27,4.126814,0.418367,0.357143,0.993651,0.280612,13.144479,196,82,42,15,27,0.4382829833482948,0.3488953047413386,,
28,4.179907,0.42487,0.394737,0.993752,0.305699,12.976987,193,82,38,15,23,0.4304981412720374,0.41579528677304617,,
29,4.201219,0.461538,0.390244,0.992732,0.324176,12.465069,182,84,41,16,25,0.4067046868101613,0.44264936996995413,,
