ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.672862,0.502392,0.369048,0.997367,0.248804,15.641034,209,105,84,31,53,0.32781540575714974,0.9026145449760685,,
1,4.733303,0.505263,0.414634,0.997616,0.252632,15.175087,190,96,82,34,48,0.3091622625858893,0.9768227991945173,,
2,4.33434,0.442478,0.390625,0.997768,0.269912,14.32595,226,100,64,25,39,0.27391557999922567,0.4869840749577503,,
3,4.545069,0.432836,0.433333,0.997515,0.348259,14.598998,201,87,30,13,17,0.284796662372714,0.7457127924681063,,
4,4.606248,0.440367,0.459016,0.99773,0.288991,14.573674,218,96,61,28,33,0.2837875127151079,0.8208276440582407,,
5,4.705223,0.425,0.4,0.997512,0.23,14.939087,200,85,65,26,39,0.2983493601090856,0.9423460729928959,,
6,4.256849,0.439614,0.551724,0.997744,0.376812,14.746357,207,91,29,16,13,0.29238415804037693,0.3918420827322788,,
7,4.333685,0.472906,0.358491,0.997863,0.305419,15.014873,203,96,53,19,34,0.3030587373045386,0.4861792249091947,,
8,4.507217,0.49,0.283333,0.997518,0.275,14.698735,200,98,60,17,43,0.2904909895164802,0.6992389546475665,,
9,4.550362,0.483412,0.410959,0.99752,0.279621,14.69791,211,102,73,30,43,0.290458183148826,0.7522111128235328,,
10,4.527814,0.517766,0.356164,0.997655,0.279188,14.360103,197,102,73,26,47,0.28046790773649705,0.7245268901158188,,
11,4.433045,0.485437,0.397436,0.997846,0.257282,14.36285,206,100,78,31,47,0.2805765990037345,0.6081719106718005,,
12,4.485847,0.492683,0.45283,0.997673,0.35122,14.191136,205,101,53,24,29,0.27378275786731476,0.673001678143264,,
13,4.643655,0.413146,0.322581,0.997709,0.215962,14.690504,213,88,62,20,42,0.2935402182158108,0.8667541294026837,,
14,4.506143,0.40724,0.481481,0.99788,0.280543,14.765431,221,90,54,26,28,0.29650468278797865,0.6979202858533454,,
15,4.602932,0.479381,0.416667,0.997355,0.298969,14.928349,194,93,60,25,35,0.3029505364968526,0.8167558606737402,,
16,4.616837,0.494949,0.666667,0.997664,0.424242,14.15266,198,98,42,28,14,0.2722604296031936,0.8338275931780437,,
17,4.409,0.44878,0.303571,0.997435,0.258537,14.536225,205,92,56,17,39,0.28743615463513683,0.5786503934771654,,
18,4.506441,0.484694,0.436364,0.997828,0.326531,14.777144,196,95,55,24,31,0.2969681144302525,0.698286416081949,,
19,4.691429,0.441624,0.38,0.997219,0.284264,15.029011,197,87,50,19,31,0.306933237592374,0.9254101110488853,,
20,4.615201,0.451456,0.409091,0.997427,0.325243,15.264034,206,93,44,18,26,0.31623188769227367,0.8318194098974537,,
21,4.538933,0.515306,0.416667,0.997564,0.336735,14.784666,196,101,60,25,35,0.2972657075518573,0.7381788942433215,,
22,4.351596,0.469484,0.44898,0.997745,0.342723,14.150066,213,100,49,22,27,0.27215779980815674,0.5081703851732493,,
23,4.544136,0.452736,0.412698,0.997784,0.268657,14.233504,201,91,63,26,37,0.27545902995090077,0.744566789132329,,
24,4.310627,0.489583,0.508772,0.997756,0.34375,14.024304,192,94,57,29,28,0.267182053577153,0.45786954337134933,,
25,4.539139,0.475248,0.575,0.997429,0.391089,14.996574,202,96,40,23,17,0.30564985897228164,0.7384318870264398,,
26,4.379394,0.462687,0.452381,0.997814,0.348259,14.431474,201,93,42,19,23,0.2832917036443194,0.5423003856724623,,
27,4.368202,0.505102,0.333333,0.997636,0.290816,14.696883,196,99,63,21,42,0.2937925774725251,0.5285592818881147,,
28,4.296909,0.46114,0.45283,0.997808,0.310881,14.449657,193,89,53,24,29,0.28401110391925743,0.4410263868811359,,
29,4.353183,0.5,0.44,0.997995,0.346154,14.055192,182,91,50,22,28,0.2684041062008269,0.5101185221746063,,
