ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.191016,0.370861,0.315068,0.998232,0.205298,14.144116,302,112,73,23,50,0.3489730100009943,0.381987989981907,,
1,4.243056,0.346667,0.446809,0.998218,0.26,13.831592,300,104,47,21,26,0.3332861556199309,0.4505528571880953,,
2,4.206477,0.346801,0.289855,0.99813,0.181818,14.432318,297,103,69,20,49,0.36343910173916205,0.4023585631991542,,
3,4.442639,0.350877,0.333333,0.998048,0.133333,14.136134,285,100,93,31,62,0.3485723782670901,0.7135093431677575,,
4,4.119372,0.359155,0.42623,0.998315,0.235915,13.859856,284,102,61,26,35,0.3347048154229679,0.2875950360688143,,
5,4.349995,0.350168,0.328947,0.998099,0.178451,14.118667,297,104,76,25,51,0.3476956531889162,0.5914488281506567,,
6,4.227446,0.362179,0.446154,0.998225,0.246795,14.173588,312,113,65,29,36,0.35045235590559876,0.429985855470495,,
7,4.290928,0.352941,0.407407,0.998173,0.248366,14.135526,306,108,54,22,32,0.3485418737185674,0.5136252516583591,,
8,4.408635,0.326984,0.385714,0.998193,0.190476,14.427731,315,103,70,27,43,0.3632088651238451,0.6687078306820153,,
9,4.12653,0.335526,0.385714,0.998327,0.194079,14.017704,304,102,70,27,43,0.34262787666832206,0.29702604281782113,,
10,4.182471,0.363636,0.4,0.998167,0.248252,13.745995,286,104,55,22,33,0.3289896842622289,0.3707296511113622,,
11,4.347337,0.369863,0.285714,0.997975,0.09589,13.873067,292,108,112,32,80,0.3353679678227577,0.5879468217045803,,
12,4.346538,0.371025,0.378788,0.998165,0.226148,14.40862,283,105,66,25,41,0.3622495749509777,0.586893350499076,,
13,4.586272,0.320635,0.376812,0.997971,0.184127,14.594614,315,101,69,26,43,0.3715854123571322,0.9027502940024948,,
14,4.456562,0.375,0.321839,0.998088,0.164286,14.769016,280,105,87,28,59,0.3803393858391531,0.7318536063296593,,
15,4.244013,0.325806,0.368421,0.998187,0.209677,13.620081,310,101,57,21,36,0.3226695354396404,0.4518133932897025,,
16,4.392463,0.345638,0.431034,0.997987,0.234899,14.144553,298,103,58,25,33,0.3489949803736091,0.6474015701065275,,
17,4.333057,0.301282,0.328358,0.998162,0.157051,14.25351,312,94,67,22,45,0.35446395720902135,0.5691325564985871,,
18,4.347406,0.377926,0.513889,0.998158,0.26087,13.946362,299,113,72,37,35,0.33904691606141785,0.5880370529303846,,
19,4.502445,0.312925,0.428571,0.99803,0.217687,14.817693,294,92,49,21,28,0.38278268977304275,0.7923055803527813,,
20,4.29659,0.379433,0.277108,0.998142,0.166667,13.585495,282,107,83,23,60,0.32093347857252913,0.521084946209071,,
21,4.199365,0.397163,0.289157,0.998199,0.187943,14.038751,282,112,83,24,59,0.34368433486178496,0.3929886253589098,,
22,4.294058,0.334426,0.385965,0.998234,0.219672,13.821008,305,102,57,22,35,0.3327548804674127,0.5177501547353099,,
23,4.523933,0.322581,0.378049,0.998,0.158065,14.114583,310,100,82,31,51,0.3474906403536294,0.8206173373231592,,
24,4.262882,0.309598,0.471429,0.998254,0.195046,13.569844,323,100,70,33,37,0.3201479108043041,0.47667390117512204,,
25,4.291476,0.377163,0.40625,0.998065,0.245675,14.635061,289,109,64,26,38,0.3736156354263466,0.5143479366908337,,
26,4.019138,0.366782,0.4,0.99827,0.252595,13.797684,289,106,55,22,33,0.33158418033516407,0.15553415615407162,,
27,4.298548,0.354305,0.406977,0.998071,0.18543,13.961611,302,107,86,35,51,0.3398123445313216,0.523665464276554,,
28,4.166344,0.334437,0.393443,0.99833,0.211921,13.864054,302,101,61,24,37,0.3349155499983134,0.34948261707351946,,
29,4.119814,0.367491,0.434783,0.998195,0.275618,14.416939,283,104,46,20,26,0.3626671429017497,0.28817733460436185,,
