ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.256936,0.345455,0.295652,0.998126,0.161364,14.034492,440,152,115,34,81,0.34347056727717135,0.46883976221049833,,
1,4.408885,0.312639,0.389474,0.998024,0.184035,14.388275,451,141,95,37,58,0.36122841469867684,0.6690372298990002,,
2,4.194649,0.328194,0.388235,0.998204,0.213656,13.920573,454,149,85,33,52,0.3377524616603023,0.3867743534787864,,
3,4.085141,0.331019,0.280899,0.998226,0.18287,13.772939,432,143,89,25,64,0.3303421257577288,0.242495030480628,,
4,4.355848,0.314534,0.357143,0.998135,0.177874,14.337891,461,145,98,35,63,0.35869943756594863,0.5991596993759529,,
5,4.232821,0.306867,0.340659,0.998247,0.178112,13.920143,466,143,91,31,60,0.33773088438140764,0.4370679690797996,,
6,4.198873,0.311947,0.351852,0.998257,0.15708,13.825207,452,141,108,38,70,0.33296563481286584,0.3923399194060128,,
7,4.232995,0.320088,0.322835,0.998286,0.130243,14.30028,453,145,127,41,86,0.3568115436306998,0.43729686693527586,,
8,4.35946,0.337292,0.333333,0.998158,0.171021,14.307793,421,142,105,35,70,0.3571886613049319,0.6039183328177739,,
9,4.39547,0.32766,0.363636,0.998096,0.16383,14.357269,470,154,121,44,77,0.35967208272716894,0.6513631659408523,,
10,4.188977,0.334831,0.402174,0.998248,0.211236,14.111388,445,149,92,37,55,0.34733030182041413,0.3793018401679524,,
11,4.169156,0.340045,0.430233,0.998293,0.230425,13.904669,447,152,86,37,49,0.33695420071175136,0.3531873022916049,,
12,4.297913,0.311111,0.352273,0.998199,0.184444,13.991939,450,140,88,31,57,0.3413346259501725,0.5228279667740211,,
13,4.177562,0.370288,0.285714,0.998194,0.181818,13.83693,451,167,119,34,85,0.33355408722198987,0.3642628356680574,,
14,4.177007,0.345133,0.330579,0.998306,0.165929,14.039648,452,156,121,40,81,0.34372936631357315,0.3635314740160677,,
15,4.129956,0.358407,0.346154,0.998269,0.207965,13.68315,452,162,104,36,68,0.3258352274954705,0.30153943609198824,,
16,4.291213,0.347126,0.348837,0.998168,0.154023,14.224871,435,151,129,45,84,0.3530264883989914,0.5140013156051889,,
17,4.368123,0.314943,0.44898,0.998159,0.190805,14.139645,435,137,98,44,54,0.34874859249768125,0.6153329435519923,,
18,4.431304,0.321199,0.274074,0.99802,0.111349,14.61656,467,150,135,37,98,0.37268700260573046,0.6985750586354111,,
19,4.149837,0.315789,0.284404,0.998256,0.144737,13.964059,456,144,109,31,78,0.3399352272232633,0.3277342005761816,,
20,4.40194,0.360656,0.370079,0.99803,0.173302,14.213945,427,154,127,47,80,0.35247803368571745,0.6598876952008313,,
21,4.417305,0.340136,0.414634,0.998132,0.176871,13.667846,441,150,123,51,72,0.32506703147005045,0.6801319738823587,,
22,4.297879,0.303688,0.316456,0.998178,0.186551,14.334351,461,140,79,25,54,0.3585217488959319,0.5227843691936968,,
23,4.392589,0.317881,0.344086,0.99806,0.183223,14.633843,453,144,93,32,61,0.37355449352010467,0.6475670828709067,,
24,4.089247,0.312775,0.4125,0.998281,0.209251,13.895611,454,142,80,33,47,0.3364995285797134,0.24790503281712584,,
25,4.533296,0.327549,0.365672,0.998127,0.143167,14.789687,461,151,134,49,85,0.3813769755072941,0.8329531067028486,,
26,4.409064,0.343681,0.328,0.998046,0.157428,14.389175,451,155,125,41,84,0.3612735712234473,0.6692739758376824,,
27,4.297527,0.354167,0.396694,0.998229,0.185185,14.180477,432,153,121,48,73,0.35079813983583225,0.522319393229974,,
28,4.514578,0.311015,0.323077,0.997969,0.12095,14.163882,463,144,130,42,88,0.3499651614770081,0.8082921397480173,,
29,4.196707,0.345794,0.363636,0.998243,0.165888,13.870189,428,148,121,44,77,0.33522348121321327,0.3894865918657454,,
