ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.255155,0.375358,0.436782,0.998264,0.234957,13.645481,349,131,87,38,49,0.3239444407671358,0.46649357767652533,,
1,4.294985,0.34,0.369048,0.998133,0.188571,14.361188,350,119,84,31,53,0.35986881060320647,0.5189706688393388,,
2,4.509244,0.34104,0.336634,0.997935,0.147399,14.320461,346,118,101,34,67,0.3578245182435241,0.8012640601691393,,
3,4.346297,0.319559,0.424658,0.998113,0.203857,14.091079,363,116,73,31,42,0.34631086654425997,0.5865754264247409,,
4,4.181562,0.365497,0.381579,0.998222,0.22807,13.771485,342,125,76,29,47,0.3302690965754758,0.3695318134525246,,
5,4.286082,0.371257,0.426471,0.998099,0.254491,14.447087,334,124,68,29,39,0.3641804305428306,0.5072413578984252,,
6,4.301723,0.362018,0.344444,0.998162,0.186944,14.183749,337,122,90,31,59,0.35096237694021815,0.5278484300479349,,
7,4.219781,0.299479,0.305882,0.998253,0.145833,14.237813,384,115,85,26,59,0.3536760775280097,0.4198866910449688,,
8,4.135936,0.335196,0.25,0.998182,0.167598,13.744477,358,120,80,20,60,0.3289134940920322,0.3094190480955101,,
9,4.399662,0.344828,0.408602,0.998163,0.186782,14.648491,348,120,93,38,55,0.3742897367779709,0.6568861486776558,,
10,4.235089,0.343023,0.375,0.99821,0.197674,14.180506,344,118,80,30,50,0.35079960438298735,0.44005643737074335,,
11,4.449024,0.372881,0.369565,0.998081,0.20904,14.062814,354,132,92,34,58,0.34489211966335004,0.7219222911405444,,
12,4.303615,0.31768,0.325843,0.998122,0.151934,14.097474,362,115,89,29,60,0.346631861223456,0.5303413250618089,,
13,4.234875,0.31768,0.453488,0.998228,0.187845,14.04929,362,115,86,39,47,0.3442133066028115,0.43977460383364314,,
14,4.197304,0.347181,0.311475,0.99812,0.222552,14.016766,337,117,61,19,42,0.3425808125252003,0.39027239937216957,,
15,4.237892,0.391045,0.408163,0.998241,0.21791,14.172483,335,131,98,40,58,0.35039690960991243,0.44374898632267223,,
16,4.554987,0.328947,0.390476,0.998112,0.160526,14.419608,380,125,105,41,64,0.36280112429016353,0.8615313613344313,,
17,4.23846,0.407975,0.402778,0.998179,0.276074,14.137096,326,133,72,29,43,0.3486206464910513,0.4444978068273486,,
18,4.469478,0.31016,0.480519,0.998048,0.203209,14.505485,374,116,77,37,40,0.3671116633314333,0.7488707470391229,,
19,4.273808,0.348189,0.363636,0.998142,0.192201,13.99977,359,125,88,32,56,0.3417277107826397,0.4910688909232056,,
20,4.241726,0.356522,0.474576,0.998064,0.266667,14.397379,345,123,59,28,31,0.36168538514872756,0.4488001586235574,,
21,4.13257,0.344023,0.288889,0.998228,0.157434,14.467497,343,118,90,26,64,0.3652048869193412,0.304984364712399,,
22,4.123217,0.315029,0.403226,0.998241,0.208092,13.628758,346,109,62,25,37,0.32310507192508664,0.2926612486327352,,
23,4.424862,0.341108,0.3875,0.99796,0.198251,13.91967,343,117,80,31,49,0.33770715492489906,0.6900876186255873,,
24,4.174287,0.362275,0.358974,0.998309,0.212575,14.132483,334,121,78,28,50,0.3483891027935796,0.35994782125585384,,
25,4.233883,0.318966,0.5,0.998194,0.224138,13.930319,348,111,66,33,33,0.3382416838582914,0.43846641634658085,,
26,4.307674,0.36036,0.462687,0.998249,0.252252,14.010363,333,120,67,31,36,0.3422593839905546,0.5356885279412766,,
27,4.321136,0.334294,0.415385,0.998105,0.224784,14.061437,347,116,65,27,38,0.3448230182133124,0.5534252433269278,,
28,4.434412,0.348571,0.37931,0.998095,0.194286,14.156717,350,122,87,33,54,0.34960552957414726,0.7026702971197722,,
29,4.31462,0.359133,0.404255,0.998196,0.185759,14.199709,323,116,94,38,56,0.35176347559689053,0.5448411998452597,,
