ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.282497,0.317568,0.324607,0.998187,0.143243,14.295684,740,235,191,62,129,0.35658086316875093,0.5025177412250922,,
1,4.145235,0.290162,0.346154,0.998169,0.163138,13.817381,803,233,156,54,102,0.33257284464870135,0.32167007923954316,,
2,4.473244,0.322034,0.328829,0.998141,0.127771,14.627482,767,247,222,73,149,0.3788837492792649,0.7538324598320761,,
3,4.29275,0.311688,0.361502,0.998237,0.135065,13.642181,770,240,213,77,136,0.32987303717759286,0.5160260754040011,,
4,4.282304,0.330946,0.304762,0.998177,0.121777,13.96845,698,231,210,64,146,0.34610226795329463,0.5022634115609499,,
5,4.315878,0.314474,0.410112,0.99823,0.176316,13.942409,760,239,178,73,105,0.3448069656052624,0.546497867719997,,
6,4.292256,0.3206,0.377907,0.998124,0.174625,13.759307,733,235,172,65,107,0.33569909082813976,0.5153750341720019,,
7,4.202879,0.32199,0.331395,0.998201,0.171466,14.043573,764,246,172,57,115,0.34983904847761443,0.3976179332420049,,
8,4.33788,0.327027,0.344086,0.998118,0.162162,14.075747,740,242,186,64,122,0.35143942066919076,0.5754859363378992,,
9,4.357212,0.315232,0.330233,0.99816,0.124503,14.400966,755,238,215,71,144,0.36761643440209735,0.6009572659127306,,
10,4.323767,0.312585,0.426036,0.998208,0.181326,14.144329,739,231,169,72,97,0.3548508047419612,0.5568924633489581,,
11,4.291978,0.296296,0.284264,0.998143,0.109788,14.0971,756,224,197,56,141,0.35250155613782014,0.5150086874310512,,
12,4.295498,0.306045,0.353591,0.998208,0.15869,14.035599,794,243,181,64,117,0.3494423885505761,0.5196463743591088,,
13,4.45688,0.292328,0.391566,0.998084,0.15873,14.338122,756,221,166,65,101,0.3644904209703171,0.7322721516521212,,
14,4.221021,0.317169,0.329787,0.998221,0.152031,13.850839,763,242,188,62,126,0.3402520878337156,0.42152086033956776,,
15,4.364929,0.313725,0.443299,0.998164,0.172549,14.064489,765,240,194,86,108,0.35087943114138853,0.6111247281564524,,
16,4.300705,0.295828,0.307263,0.998168,0.139064,14.085558,791,234,179,55,124,0.3519274312533778,0.5265077913334856,,
17,4.219494,0.328317,0.304813,0.99825,0.150479,13.857669,731,240,187,57,130,0.3405918430677257,0.41950940489105804,,
18,4.294421,0.317041,0.299517,0.998114,0.125495,14.619093,757,240,207,62,145,0.3784664503975784,0.5182271531758814,,
19,4.173073,0.332425,0.253968,0.998206,0.140327,14.019497,734,244,189,48,141,0.3486414407638532,0.3583473343769996,,
20,4.276938,0.314324,0.364162,0.99817,0.168435,14.056,754,237,173,63,110,0.35045717102078905,0.4951934044154509,,
21,4.248613,0.298913,0.32,0.998206,0.137228,14.268395,736,220,175,56,119,0.36102209506803623,0.45787421391978606,,
22,4.355372,0.314548,0.397059,0.998177,0.153342,13.85167,763,240,204,81,123,0.3402934178352366,0.5985330309247777,,
23,4.250883,0.306011,0.364865,0.998182,0.177596,14.410457,732,224,148,54,94,0.3925765975283216,0.4608645447592743,,
24,4.334109,0.316354,0.36,0.998171,0.16622,14.186886,746,236,175,63,112,0.38188673863194045,0.5705183179707688,,
25,4.321227,0.312417,0.322115,0.998189,0.124166,13.801647,749,234,208,67,141,0.36346681956710586,0.5535461261368354,,
26,4.328894,0.303595,0.34,0.99816,0.12783,14.283988,751,228,200,68,132,0.386529590194664,0.5636465271948594,,
27,4.343377,0.316489,0.337017,0.998139,0.156915,14.120207,752,238,181,61,120,0.37869855288768395,0.5827287385851172,,
28,4.289946,0.324438,0.345455,0.998167,0.172753,14.324236,712,231,165,57,108,0.38845401178351546,0.5123314673068703,,
29,4.358262,0.311081,0.334928,0.998179,0.125501,13.97336,749,233,209,70,139,0.37167714743443175,0.6023406975468305,,
