ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.403246,0.348018,0.301587,0.998117,0.154185,14.318325,227,79,63,19,44,0.3789942320430613,0.5319277294169695,,
1,4.08607,0.398374,0.388889,0.998283,0.264228,13.524917,246,98,54,21,33,0.336324135538516,0.16342161009094738,,
2,4.380027,0.360324,0.403509,0.998083,0.222672,13.731332,247,89,57,23,34,0.34742529048739984,0.5049506821236531,,
3,4.480858,0.335821,0.301887,0.998014,0.197761,14.627391,268,90,53,16,37,0.3956160353110638,0.6221005057699386,,
4,4.357151,0.366667,0.270833,0.998013,0.220833,14.666445,240,88,48,13,35,0.3977163592396365,0.47837269161413354,,
5,4.316313,0.366412,0.339623,0.998208,0.232824,13.839795,262,96,53,18,35,0.3532585064348818,0.43092632275333087,,
6,4.251785,0.347328,0.196721,0.998206,0.160305,14.980993,262,91,61,12,49,0.4146330454749951,0.3559553786755978,,
7,4.491826,0.370833,0.292683,0.998096,0.25,14.307332,240,89,41,12,29,0.3784030049901322,0.6348426704043475,,
8,4.122916,0.361624,0.428571,0.998287,0.258303,13.989731,271,98,49,21,28,0.3613221716592687,0.20623084931068908,,
9,4.388299,0.424,0.389831,0.998194,0.28,14.569826,250,106,59,23,36,0.3925201127642116,0.5145622471259355,,
10,4.256994,0.349398,0.431818,0.99815,0.248996,13.472126,249,87,44,19,25,0.3334849762492136,0.362007348614992,,
11,4.215395,0.389121,0.446809,0.998318,0.280335,14.269723,239,93,47,21,26,0.37638037135680186,0.31367607125175967,,
12,4.217317,0.376,0.365385,0.998191,0.244,14.151145,250,94,52,19,33,0.3700031667009046,0.31590895563402627,,
13,4.014036,0.367589,0.346939,0.99833,0.241107,13.685442,253,93,49,17,32,0.3449572710505536,0.07972985781873758,,
14,4.13785,0.400749,0.4,0.99834,0.243446,14.071675,267,107,70,28,42,0.36572917465412896,0.22358107213573397,,
15,4.142045,0.367347,0.451613,0.998233,0.297959,14.194849,245,90,31,14,17,0.3750306196501058,0.22845503519191598,,
16,4.652986,0.381743,0.390244,0.998068,0.278008,14.747891,241,92,41,16,25,0.4046467883277704,0.8220843588382497,,
17,4.233988,0.365639,0.372093,0.99819,0.246696,14.10145,227,83,43,16,27,0.370028970153928,0.33527824867787714,,
18,4.359051,0.363636,0.477273,0.998226,0.268595,14.151888,242,88,44,21,23,0.3727299842750738,0.4805805495829353,,
19,4.156307,0.356275,0.461538,0.998231,0.271255,13.830096,247,88,39,18,21,0.3554975778818179,0.2450256582183742,,
20,4.439089,0.338521,0.418182,0.998128,0.214008,14.606062,257,87,55,23,32,0.3970516353497572,0.5735717931995427,,
21,4.236279,0.33209,0.428571,0.99828,0.257463,14.793945,268,89,35,15,20,0.40711304736340587,0.33793959424329617,,
22,4.544119,0.380228,0.315789,0.997987,0.18251,14.860872,263,100,76,24,52,0.41069705850081645,0.6955987628180597,,
23,4.30023,0.344961,0.340426,0.998127,0.224806,13.867442,258,89,47,16,31,0.3574975346682993,0.4122405841786362,,
24,4.309703,0.374046,0.425926,0.998142,0.255725,14.319675,262,98,54,23,31,0.3817152277349384,0.4232461413746788,,
25,4.279196,0.355372,0.328125,0.998194,0.177686,13.812761,242,86,64,21,43,0.35456926707578484,0.387802174155513,,
26,4.336378,0.362595,0.457627,0.9982,0.240458,14.084972,262,95,59,27,32,0.36914655379206385,0.45423772334498175,,
27,4.214199,0.409266,0.267442,0.998257,0.166023,14.067178,259,106,86,23,63,0.3681936714017922,0.31228691764085825,,
28,4.297748,0.368627,0.454545,0.998228,0.25098,14.220325,255,94,55,25,30,0.37639488836694185,0.4093561542977883,,
29,4.267445,0.35102,0.321429,0.998161,0.273469,14.37542,245,86,28,9,19,0.38470046443007894,0.3741493560173168,,
