ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.493525,0.31738,0.384615,0.99807,0.196474,14.337723,397,126,78,30,48,0.37118059151705113,0.6368173859432263,,
1,4.287799,0.354523,0.307692,0.998178,0.178484,14.387443,409,145,104,32,72,0.3737631204827447,0.3977974864583854,,
2,4.205438,0.345499,0.320513,0.998223,0.216545,14.067975,411,142,78,25,53,0.3571693421959883,0.3021071432091217,,
3,4.52234,0.350877,0.428571,0.998033,0.210526,14.371105,399,140,98,42,56,0.37291450859930714,0.6702955838955253,,
4,4.21745,0.35,0.395604,0.998338,0.219048,13.986337,420,147,91,36,55,0.3529288856370867,0.31606304209864394,,
5,4.133081,0.377551,0.337209,0.998328,0.232143,14.372478,392,148,86,29,57,0.3729858366402579,0.21804070210170504,,
6,4.231038,0.33253,0.388889,0.998252,0.226506,14.268869,415,138,72,28,44,0.36760417246242305,0.33185006861365884,,
7,4.20342,0.360104,0.420455,0.998337,0.227979,14.148505,386,139,88,37,51,0.36135223039166214,0.29976274211777226,,
8,4.552412,0.36983,0.37,0.99816,0.216545,14.062385,411,152,100,37,63,0.3568789689879455,0.7052342228406139,,
9,4.232842,0.318519,0.288889,0.998199,0.160494,14.257211,405,129,90,26,64,0.36414008248896046,0.33394640877128645,,
10,4.199813,0.369565,0.548387,0.998277,0.293478,13.912759,368,136,62,34,28,0.34638790567818506,0.295572727181707,,
11,4.264083,0.35443,0.365854,0.998212,0.222785,13.790323,395,140,82,30,52,0.34007787650736304,0.37024346923074536,,
12,4.233761,0.33,0.402174,0.998225,0.1925,14.274653,400,132,92,37,55,0.3650390126689665,0.3350139830072229,,
13,4.418527,0.362245,0.291667,0.998097,0.188776,14.769687,392,142,96,28,68,0.3905517616619251,0.5496820425886622,,
14,4.297603,0.329327,0.373832,0.998284,0.168269,14.28641,416,137,107,40,67,0.36564493009441235,0.4091884951730898,,
15,4.33947,0.392308,0.511364,0.99825,0.282051,13.661969,390,153,88,45,43,0.3334628672626563,0.45783052050693746,,
16,4.424113,0.319512,0.359223,0.99811,0.158537,13.824562,410,131,103,37,66,0.3418424980036575,0.5561714474002238,,
17,4.151448,0.337349,0.441176,0.998232,0.245783,13.966144,415,140,68,30,38,0.3491392489629,0.2393796866389744,,
18,4.417498,0.338863,0.414414,0.998162,0.184834,13.743717,422,143,111,46,65,0.33767593306980714,0.5484862912846771,,
19,4.237275,0.339152,0.336538,0.998193,0.167082,14.073022,401,136,104,35,69,0.35464743926766734,0.339097266797184,,
20,4.339434,0.335917,0.447368,0.998272,0.22739,13.971324,387,130,76,34,42,0.34940619771785747,0.4577882688232478,,
21,4.330396,0.358354,0.356322,0.998188,0.22276,14.367284,413,148,87,31,56,0.3698129512625741,0.44728826140491273,,
22,4.235662,0.365039,0.282609,0.998247,0.195373,14.489984,389,142,92,26,66,0.37613661143972915,0.3372230425574224,,
23,4.280232,0.365285,0.381818,0.998234,0.189119,14.325308,386,141,110,42,68,0.3676496336855242,0.3890058188465382,,
24,4.186147,0.364066,0.366197,0.99829,0.257683,13.592866,423,154,71,26,45,0.3299014549479543,0.27969466405378857,,
25,4.185978,0.341404,0.383721,0.998234,0.213075,13.860195,413,141,86,33,53,0.3436789133484666,0.27949849292707457,,
26,4.102516,0.358025,0.283784,0.99826,0.22716,14.068373,405,145,74,21,53,0.35440788086985897,0.18252904953267024,,
27,4.369449,0.377551,0.342593,0.998203,0.196429,13.751434,392,148,108,37,71,0.3380736611841865,0.4926614503275181,,
28,4.123297,0.369458,0.244186,0.998245,0.20936,13.809554,406,150,86,21,65,0.34106901982639476,0.20667294704670336,,
29,4.256208,0.361386,0.340659,0.998207,0.212871,14.287018,404,146,91,31,60,0.3656762422779966,0.3610943884224555,,
