ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.149766,0.36755,0.333333,0.998299,0.208609,13.955012,302,111,72,24,48,0.3749459968896545,0.38270176999182,,
1,4.235396,0.336667,0.47619,0.998305,0.263333,13.738887,300,101,42,20,22,0.3629645178728105,0.49199342397961066,,
2,4.218024,0.350168,0.328571,0.998233,0.191919,14.514879,297,104,70,23,47,0.4059838413955303,0.4698216749523744,,
3,4.441941,0.350877,0.313953,0.998166,0.14386,14.06726,285,100,86,27,59,0.3811688072834392,0.7556151474100434,,
4,4.099513,0.362676,0.419355,0.998374,0.235915,13.763144,284,103,62,26,36,0.3643092758623154,0.31856088698999385,,
5,4.330718,0.346801,0.302632,0.998181,0.16835,14.05335,297,103,76,23,53,0.3803976662912851,0.6136565198565332,,
6,4.212956,0.355769,0.446154,0.998263,0.240385,14.20466,312,111,65,29,36,0.38878599944090964,0.46335269436573256,,
7,4.288681,0.352941,0.407407,0.998199,0.248366,14.105646,306,108,54,22,32,0.38329687203187784,0.5600039500496904,,
8,4.365547,0.330159,0.382353,0.998269,0.196825,14.261573,315,104,68,26,42,0.39194109713769165,0.6581107511068574,,
9,4.117766,0.335526,0.394366,0.998403,0.194079,13.987108,304,102,71,28,43,0.3767253269594124,0.34185831451941434,,
10,4.162822,0.363636,0.387755,0.99825,0.258741,13.926143,286,104,49,19,30,0.3733455704245716,0.39936453578685804,,
11,4.326275,0.369863,0.293578,0.998134,0.106164,13.905007,292,108,109,32,77,0.37217383585617725,0.6079864757444418,,
12,4.259493,0.371025,0.358209,0.998242,0.219081,14.248621,283,105,67,24,43,0.3912230645120873,0.5227495530278691,,
13,4.646032,0.304762,0.411765,0.998051,0.177778,14.817292,315,96,68,28,40,0.4227489899086763,1.0,,
14,4.341277,0.375,0.337349,0.998259,0.178571,14.401655,280,105,83,28,55,0.3997069820543429,0.6171943222121846,,
15,4.197724,0.332258,0.37931,0.998213,0.216129,13.514645,310,103,58,22,36,0.3505329723165868,0.4368766519235974,,
16,4.361827,0.345638,0.438596,0.998136,0.238255,13.841674,298,103,57,25,32,0.3686628221287015,0.6430072318305898,,
17,4.330613,0.301282,0.328358,0.998197,0.157051,14.204914,312,94,67,22,45,0.3888000628595096,0.6037996510428565,,
18,4.300465,0.377926,0.515152,0.998247,0.270903,13.91723,299,113,66,34,32,0.37285146120421114,0.5659302988881882,,
19,4.450579,0.312925,0.44,0.998119,0.217687,14.674601,294,92,50,22,28,0.4148385214056743,0.7544892805572264,,
20,4.266405,0.379433,0.317647,0.998211,0.173759,13.311213,282,107,85,27,58,0.33925513632016435,0.5231469221425867,,
21,4.199365,0.397163,0.289157,0.998199,0.187943,14.038751,282,112,83,24,59,0.37958834253208745,0.4389378516302747,,
22,4.294058,0.334426,0.385965,0.998234,0.219672,13.821008,305,102,57,22,35,0.3675171101321346,0.5578829522491378,,
23,4.54215,0.312903,0.395062,0.998096,0.154839,14.102545,310,97,81,32,49,0.3831249475456181,0.8695128215876099,,
24,4.315099,0.312693,0.465753,0.998314,0.19195,13.82013,323,101,73,34,39,0.36746845673632894,0.5843115796863332,,
25,4.236083,0.380623,0.396825,0.998274,0.249135,14.491141,289,110,63,25,38,0.3990284051750225,0.48505916399646476,,
26,3.934894,0.363322,0.392157,0.998358,0.256055,13.55103,289,105,51,20,31,0.34763698696866735,0.10673297805561216,,
27,4.252654,0.344371,0.402439,0.998233,0.182119,13.924196,302,104,82,33,49,0.3680362045749,0.505873988972076,,
28,4.14866,0.331126,0.4,0.998371,0.211921,13.741299,302,100,60,24,36,0.3580380753297237,0.3752465147052693,,
29,4.136038,0.35689,0.428571,0.998337,0.272085,14.146535,283,101,42,18,24,0.38019041429417083,0.35939211688191186,,
