ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.404351,0.406699,0.38806,0.99824,0.210526,14.604567,209,85,67,26,41,0.4023180645038503,0.7810717302472747,,
1,4.553749,0.410526,0.421875,0.998098,0.215789,14.411403,190,78,64,27,37,0.3914524098422079,0.9915406245354801,,
2,4.123525,0.393805,0.368421,0.998339,0.234513,13.719643,226,89,57,21,36,0.3525403259943169,0.3854467708361741,,
3,4.329407,0.338308,0.5,0.99814,0.273632,14.227139,201,68,26,13,13,0.38108738521623853,0.6754909607990262,,
4,4.207569,0.366972,0.361702,0.998276,0.229358,13.802596,218,80,47,17,30,0.35720648949599154,0.5038470185871087,,
5,4.481445,0.355,0.408163,0.998114,0.21,14.236163,200,71,49,20,29,0.38159501144216157,0.8896802606252415,,
6,4.068921,0.362319,0.5,0.998364,0.31401,14.155634,207,75,20,10,10,0.37918922330562405,0.30852140424962343,,
7,4.172731,0.389163,0.390244,0.998339,0.26601,14.768261,203,79,41,16,25,0.41353251554430803,0.45476810365484904,,
8,4.197234,0.375,0.26,0.998253,0.19,13.713188,200,75,50,13,37,0.35438616026701864,0.4892880924879682,,
9,4.297878,0.393365,0.368421,0.998198,0.222749,13.969235,211,83,57,21,36,0.3687398854542312,0.6310740020206855,,
10,4.192779,0.42132,0.345455,0.998267,0.238579,13.832739,197,83,55,19,36,0.36536523999741116,0.4830112818867828,,
11,4.042325,0.402913,0.396825,0.998399,0.218447,14.013959,206,83,63,25,38,0.3754562970699249,0.2710545347939685,,
12,4.182932,0.414634,0.447368,0.998264,0.312195,14.03601,205,85,38,17,21,0.37668413842332243,0.4691388058216781,,
13,4.351023,0.352113,0.303571,0.998186,0.169014,14.290148,213,75,56,17,39,0.39083553991284586,0.705942745768479,,
14,4.16432,0.334842,0.465116,0.998365,0.230769,14.400557,221,74,43,20,23,0.3969834997546791,0.4429193833055398,,
15,4.326837,0.412371,0.444444,0.998221,0.283505,14.041658,194,80,45,20,25,0.3769986820537133,0.6718697699942064,,
16,4.214239,0.409091,0.606061,0.998347,0.343434,13.66331,198,81,33,20,13,0.3559308122983224,0.5132443283611986,,
17,4.319386,0.37561,0.307692,0.998171,0.2,14.410614,205,77,52,16,36,0.3975435246505517,0.6613736859108911,,
18,4.284999,0.403061,0.452381,0.998238,0.285714,14.56858,196,79,42,19,23,0.4063396547928043,0.6129293819722521,,
19,4.423187,0.360406,0.342105,0.998006,0.233503,14.433378,197,71,38,13,25,0.3988110993418565,0.8076066728939963,,
20,4.226753,0.349515,0.272727,0.998131,0.23301,14.20249,206,72,33,9,24,0.3859544132514019,0.530873718377052,,
21,4.396267,0.408163,0.425,0.998134,0.290816,14.796107,196,80,40,17,23,0.41900923256263284,0.7696825531379088,,
22,4.092354,0.347418,0.466667,0.998382,0.2723,13.488784,213,74,30,14,16,0.3462125418361813,0.34153476025155277,,
23,4.259007,0.368159,0.396226,0.99824,0.208955,13.562723,201,74,53,21,32,0.35032977688947414,0.5763124394630483,,
24,3.958822,0.416667,0.446809,0.99845,0.28125,13.681158,192,80,47,21,26,0.35692465035562426,0.15341569464173338,,
25,4.117517,0.420792,0.542857,0.998414,0.341584,14.161207,202,85,35,19,16,0.3836555968585694,0.3769838809192625,,
26,4.250655,0.412935,0.410256,0.998273,0.298507,13.909838,201,83,39,16,23,0.3696583976060287,0.5645460586205752,,
27,3.932854,0.387755,0.357143,0.99837,0.25,13.668109,196,76,42,15,27,0.3561980412807631,0.11683299643832529,,
28,4.098238,0.404145,0.425,0.998342,0.284974,13.617801,193,78,40,17,23,0.3533967057065317,0.3498230120616829,,
29,4.04772,0.417582,0.380952,0.998361,0.274725,13.115132,182,76,42,16,26,0.3254062234495653,0.27865425686154255,,
