ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,4.209888,0.301775,0.3125,0.998264,0.139053,13.9358,1014,306,240,75,165,0.3821296101552702,0.452155119930967,,
1,4.375865,0.318091,0.34386,0.998208,0.132207,14.226522,1006,320,285,98,187,0.39649056489550477,0.6606411873693714,,
2,4.311161,0.28878,0.326087,0.998185,0.137561,14.312102,1025,296,230,75,155,0.4007180122671922,0.5793657278114216,,
3,4.219026,0.276238,0.313433,0.99822,0.139604,13.779651,1010,279,201,63,138,0.37441623960159853,0.46363419735725625,,
4,4.255097,0.30957,0.308333,0.998238,0.147461,13.787794,1024,317,240,74,166,0.37481847496928183,0.5089436536462955,,
5,4.357719,0.314459,0.357143,0.998191,0.150657,13.831326,989,311,252,90,162,0.3769688438356373,0.6378470278486766,,
6,4.301957,0.298492,0.334783,0.998242,0.144724,14.050047,995,297,230,77,153,0.3877731371198439,0.567804932735063,,
7,4.255698,0.296922,0.3,0.998234,0.130089,13.756149,1007,299,240,72,168,0.3732552669466016,0.5096984542308336,,
8,4.410056,0.305419,0.315789,0.998145,0.100493,14.143666,1015,310,304,96,208,0.3923976683846305,0.7035887581124902,,
9,4.385716,0.294821,0.331933,0.998154,0.136454,14.020337,1004,296,238,79,159,0.3863055151614161,0.6730147626276954,,
10,4.324703,0.321074,0.322464,0.998187,0.135189,13.843955,1006,323,276,89,187,0.3775926959737131,0.5963760175566558,,
11,4.217007,0.290258,0.362319,0.99826,0.159046,13.960954,1006,292,207,75,132,0.38337212812001653,0.46109803353568907,,
12,4.17238,0.327952,0.357143,0.998305,0.173562,13.73076,991,325,238,85,153,0.3720011068060359,0.4050410750627673,,
13,4.330671,0.296768,0.354167,0.998192,0.144956,14.118831,1021,303,240,85,155,0.3911708807418255,0.6038717926991904,,
14,4.17498,0.304649,0.336493,0.998309,0.166172,13.907542,1011,308,211,71,140,0.38073370910513754,0.4083071636928444,,
15,4.425141,0.300201,0.340502,0.998164,0.115462,13.975411,996,299,279,95,184,0.38408629787329013,0.7225363254261338,,
16,4.323421,0.287009,0.356846,0.998246,0.130916,14.223486,993,285,241,86,155,0.396340590372234,0.5947655750782221,,
17,4.349148,0.29912,0.371179,0.998217,0.158358,14.56509,1023,306,229,85,144,0.4132149837671924,0.6270813933963268,,
18,4.305754,0.291384,0.326241,0.998232,0.107454,13.911427,1033,301,282,92,190,0.3809256191392011,0.5725743086114391,,
19,4.354973,0.319672,0.351931,0.998233,0.164959,14.218238,976,312,233,82,151,0.39608136533734395,0.6343984494695046,,
20,4.377769,0.295627,0.408163,0.998265,0.157795,14.155134,1052,311,245,100,145,0.3929641708247788,0.663031897083877,,
21,4.358793,0.27767,0.369099,0.998217,0.134951,13.820457,1030,286,233,86,147,0.3764319528596311,0.6391970110844306,,
22,4.323814,0.310689,0.34058,0.998268,0.128871,14.016087,1001,311,276,94,182,0.38609557062940264,0.5952585777342481,,
23,4.278138,0.303427,0.369748,0.998272,0.152218,13.985261,992,301,238,88,150,0.3845728512962664,0.5378855009560701,,
24,4.422658,0.296112,0.333333,0.998146,0.132602,14.235274,1003,297,246,82,164,0.3969228696318011,0.7194178742040004,,
25,4.291762,0.310669,0.35545,0.998235,0.16841,13.888681,956,297,211,75,136,0.3798020300805696,0.554998530012774,,
26,4.274539,0.288119,0.357798,0.998291,0.149505,14.164875,1010,291,218,78,140,0.3934453498228651,0.5333646617649594,,
27,4.435206,0.32996,0.367133,0.998206,0.146761,14.163568,988,326,286,105,181,0.39338076444285835,0.7351799391824436,,
28,4.326744,0.320162,0.365672,0.998248,0.147923,13.757208,987,316,268,98,170,0.37330761136339663,0.5989389681869713,,
29,4.304192,0.306706,0.345679,0.998249,0.149901,13.937607,1014,311,243,84,159,0.38221884813384405,0.5706117713537332,,
