ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,6.174977,0.304636,0.423529,0.996948,0.142384,15.330372,302,92,85,36,49,0.40225474540746536,0.3614148580428807,,
1,6.229987,0.273333,0.555556,0.996896,0.193333,15.589465,300,82,54,30,24,0.4157174269632818,0.42631169510368766,,
2,6.186129,0.296296,0.369048,0.996844,0.117845,16.310881,297,88,84,31,53,0.4532028485818313,0.37457175408735277,,
3,6.485697,0.312281,0.333333,0.996766,0.101754,15.962822,285,89,90,30,60,0.4351173672161562,0.7279830510332735,,
4,6.147331,0.299296,0.44,0.996925,0.151408,15.726267,284,85,75,33,42,0.4228257591149347,0.32879935200336274,,
5,6.344365,0.326599,0.325,0.996942,0.144781,15.855869,297,97,80,26,54,0.4295599834080392,0.5612480714046181,,
6,6.446712,0.25641,0.48,0.9968,0.173077,15.85035,312,80,50,24,26,0.4292732087650671,0.6819910057055503,,
7,6.0923,0.254902,0.584615,0.996857,0.166667,16.249239,306,78,65,38,27,0.44999983256901605,0.26387736986806254,,
8,6.258641,0.292063,0.379747,0.996919,0.136508,15.709317,315,92,79,30,49,0.4219450216910911,0.4601167179563871,,
9,6.142358,0.259868,0.43662,0.996879,0.128289,15.574616,304,79,71,31,40,0.4149458317120514,0.3229333558275287,,
10,6.174804,0.297203,0.446154,0.996868,0.171329,15.311829,286,85,65,29,36,0.4012912416809817,0.36121049514710574,,
11,6.232751,0.311644,0.33945,0.996745,0.065068,15.696,292,91,109,37,72,0.421253062126635,0.42957253220480485,,
12,6.056814,0.279152,0.486842,0.996941,0.141343,16.223865,283,79,76,37,39,0.44868139192491485,0.2220131101682961,,
13,6.203266,0.244444,0.442857,0.996836,0.120635,16.38237,315,77,70,31,39,0.4569174507079556,0.394788441810195,,
14,6.196587,0.3,0.360465,0.996853,0.103571,16.076806,280,84,86,31,55,0.4410400704349979,0.3869091724709954,,
15,6.049737,0.264516,0.575342,0.996903,0.164516,15.554878,310,82,73,42,31,0.41392024402211497,0.21366446791129406,,
16,6.075822,0.295302,0.546667,0.996828,0.181208,15.911929,298,88,75,41,34,0.4324729281905912,0.2444376860168668,,
17,6.274721,0.275641,0.41573,0.996773,0.108974,16.346476,312,86,89,37,52,0.45505234903075203,0.47908660415521226,,
18,6.299485,0.294314,0.486111,0.99672,0.170569,16.242323,299,88,72,35,37,0.44964050690189233,0.508302036476439,,
19,6.426175,0.285714,0.4375,0.996682,0.163265,16.393874,294,84,64,28,36,0.45751518728280527,0.657762812743607,,
20,6.223328,0.329787,0.34375,0.996773,0.106383,15.778099,282,93,96,33,63,0.4255190198545376,0.418456101856897,,
21,6.138539,0.322695,0.431579,0.996829,0.131206,15.996242,282,91,95,41,54,0.4368539026711942,0.318427737131955,,
22,6.069313,0.301639,0.467532,0.99691,0.167213,15.362705,305,92,77,36,41,0.4039347678225789,0.23675840415057334,,
23,6.213396,0.280645,0.425532,0.996794,0.106452,15.84284,310,87,94,40,54,0.4288830019916455,0.4067387071845877,,
24,6.19614,0.250774,0.493506,0.996855,0.130031,15.576712,323,81,77,38,39,0.41505474293581796,0.3863810676367648,,
25,6.37549,0.301038,0.483333,0.996775,0.193772,16.300427,289,87,60,29,31,0.45265960494944457,0.597967504935395,,
26,6.198495,0.280277,0.466667,0.996883,0.16955,15.492339,289,81,60,28,32,0.41067068338133866,0.3891596824232956,,
27,6.225107,0.294702,0.409091,0.996811,0.122517,15.733121,302,89,88,36,52,0.4231819169618229,0.42055491845783105,,
28,6.180262,0.294702,0.494253,0.996952,0.149007,16.439465,302,89,87,43,44,0.4598841731489408,0.36765016021866675,,
29,6.22379,0.293286,0.555556,0.996866,0.208481,16.45574,283,83,54,30,24,0.46072980635626476,0.41900114916578185,,
