ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,6.201765,0.277937,0.411765,0.996886,0.13467,15.704374,349,97,85,35,50,0.4216881862755797,0.3930172335714002,,
1,6.146154,0.271429,0.541176,0.996799,0.16,16.029043,350,95,85,46,39,0.4385582630776729,0.3274109523426017,,
2,6.386752,0.323699,0.365854,0.996752,0.098266,16.335171,346,112,123,45,78,0.45446495129866626,0.6112543946886336,,
3,6.42342,0.283747,0.369863,0.996825,0.157025,15.935992,363,103,73,27,46,0.4337232769769571,0.6545120680787261,,
4,5.986119,0.277778,0.47561,0.997031,0.152047,15.269983,342,95,82,39,43,0.3991168570057357,0.13861217102119064,,
5,6.261257,0.278443,0.5,0.996749,0.164671,16.381527,334,93,76,38,38,0.456873664279197,0.46320317497587665,,
6,6.167661,0.302671,0.368421,0.996903,0.124629,15.628793,337,102,95,35,60,0.4177609350956354,0.3527839981580725,,
7,6.698344,0.257812,0.363636,0.996496,0.09375,16.68048,384,99,99,36,63,0.47240750972439394,0.9788512593096853,,
8,6.401642,0.276536,0.348837,0.996786,0.120112,16.089682,358,99,86,30,56,0.4417091526632141,0.6288198454270733,,
9,6.216409,0.301724,0.393939,0.996876,0.12931,16.592388,348,105,99,39,60,0.46783016909131997,0.4102931782225453,,
10,6.140161,0.267442,0.488372,0.996855,0.139535,15.438113,344,92,86,42,44,0.40785304402418854,0.3203404186871122,,
11,6.103516,0.285311,0.457447,0.996892,0.141243,15.42744,354,101,94,43,51,0.40729849007652846,0.277109507244325,,
12,6.012878,0.259669,0.460674,0.996955,0.127072,15.919546,362,94,89,41,48,0.4328687360756401,0.1701805954919304,,
13,6.18687,0.28453,0.43299,0.99689,0.132597,15.982868,362,103,97,42,55,0.43615897050281055,0.3754459634809207,,
14,6.271753,0.27003,0.439394,0.996868,0.160237,16.40585,337,91,66,29,37,0.45813751329570473,0.47558499997330234,,
15,6.183249,0.292537,0.494382,0.996797,0.158209,15.849673,335,98,89,44,45,0.42923803805170957,0.3711735997186407,,
16,6.190141,0.273684,0.419643,0.996867,0.102632,16.235663,380,104,112,47,65,0.4492944096500922,0.3793040229595577,,
17,6.169954,0.312883,0.405797,0.996911,0.187117,15.534913,326,102,69,28,41,0.4128828328342621,0.3554889197225433,,
18,6.172601,0.243316,0.52439,0.996791,0.139037,16.117872,374,91,82,43,39,0.4159114246529677,0.35861125941347505,,
19,6.312325,0.259053,0.472973,0.996785,0.150418,15.946512,359,93,74,35,39,0.4075551594251833,0.523449040507847,,
20,6.362985,0.266667,0.537313,0.996707,0.176812,16.265135,345,92,67,36,31,0.42309263879350634,0.5832156143844178,,
21,6.383141,0.282799,0.38,0.996719,0.102041,16.381046,343,97,100,38,62,0.42874499452953363,0.6069942038173913,,
22,6.13349,0.280347,0.481928,0.996899,0.156069,15.434193,346,97,83,40,43,0.3825722297706217,0.31247113949507493,,
23,6.250799,0.279883,0.376471,0.996751,0.125364,15.750845,343,96,85,32,53,0.39801359925813273,0.4508654644209994,,
24,6.134609,0.296407,0.47191,0.996945,0.155689,16.014256,334,99,89,42,47,0.4108586535533712,0.31379109367784164,,
25,6.209301,0.275862,0.458333,0.99692,0.163793,15.82557,348,96,72,33,39,0.40165750173211895,0.40190867352321624,,
26,6.051436,0.291291,0.511111,0.996951,0.159159,15.862835,333,97,90,46,44,0.4034747098102092,0.2156685792403752,,
27,6.237083,0.291066,0.39726,0.996928,0.164265,15.807041,347,101,73,29,44,0.400753975763236,0.4346837279393107,,
28,6.355641,0.285714,0.410526,0.996759,0.125714,15.769555,350,100,95,39,56,0.3989259659378688,0.5745508757880671,,
29,6.254181,0.287926,0.445545,0.996718,0.114551,16.192482,323,93,101,45,56,0.41954977334926796,0.4548545432828337,,
