ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,6.326658,0.279597,0.446429,0.996587,0.123426,16.417871,397,111,112,50,62,0.43054074267191633,0.5403584875929585,,
1,6.441979,0.286064,0.338843,0.996789,0.090465,16.590181,409,117,121,41,80,0.43894331010596255,0.6764070319310097,,
2,6.166431,0.262774,0.466667,0.996838,0.145985,15.720613,411,108,90,42,48,0.3965393316892562,0.3513323348466466,,
3,6.0253,0.295739,0.495726,0.996944,0.14787,15.80412,399,118,117,58,59,0.40061150170734877,0.18483490508596345,,
4,6.091763,0.240476,0.415584,0.996994,0.133333,15.995222,420,101,77,32,45,0.4099304666052138,0.2632439312671937,,
5,6.220598,0.306122,0.436364,0.996865,0.147959,15.88639,392,120,110,48,62,0.4046233591799492,0.4152350979827672,,
6,6.162105,0.245783,0.519481,0.996839,0.156627,15.934743,415,102,77,40,37,0.40698126862491224,0.34622902331996497,,
7,6.242573,0.290155,0.431579,0.9969,0.150259,15.621746,386,112,95,41,54,0.39171814423142715,0.4411601230436681,,
8,6.305298,0.243309,0.468354,0.996843,0.141119,16.053236,411,100,79,37,42,0.4127595274718722,0.5151591739987718,,
9,6.225199,0.296296,0.384,0.996853,0.106173,16.032971,405,120,125,48,77,0.4117712920471615,0.42066331431551435,,
10,5.892181,0.282609,0.563218,0.997071,0.179348,15.740103,368,104,87,49,38,0.39748975774363426,0.02778983263819874,,
11,6.163095,0.260759,0.463158,0.996851,0.131646,15.577225,395,103,95,44,51,0.3895471273078263,0.34739735861175985,,
12,6.180932,0.295,0.370079,0.996857,0.095,15.780661,400,118,127,47,80,0.399467570150232,0.368440021451755,,
13,6.196437,0.272959,0.428571,0.996869,0.119898,16.221513,392,107,105,45,60,0.4209654178566999,0.3867314185972806,,
14,6.186368,0.288462,0.426087,0.996907,0.129808,15.981916,416,120,115,49,66,0.40928165412697187,0.3748535813160417,,
15,6.084569,0.287179,0.477778,0.996939,0.166667,15.063095,390,112,90,43,47,0.364475855013273,0.25475755807105527,,
16,6.275778,0.263415,0.391304,0.996761,0.092683,16.083208,410,108,115,45,70,0.4142210603095883,0.48033381686400217,,
17,6.353259,0.250602,0.445652,0.996652,0.127711,15.699959,415,104,92,41,51,0.3955321461987512,0.5717407419065431,,
18,6.184052,0.270142,0.408696,0.996816,0.109005,15.250756,422,114,115,47,68,0.37362705728526163,0.3721207566055689,,
19,6.452793,0.269327,0.37963,0.996698,0.102244,16.125788,401,108,108,41,67,0.4162974419837816,0.6891653570424465,,
20,6.101894,0.268734,0.46988,0.996898,0.155039,15.570105,387,104,83,39,44,0.38919991481279503,0.2751957041676824,,
21,6.039267,0.263923,0.495327,0.996944,0.133172,15.999851,413,109,107,53,54,0.41015623059217216,0.20131237251675155,,
22,6.101957,0.282776,0.47619,0.99697,0.141388,16.257897,389,110,105,50,55,0.422739699827859,0.27527025370046804,,
23,6.132128,0.264249,0.39823,0.996904,0.088083,15.876196,386,102,113,45,68,0.40412626618585334,0.31086419847624014,,
24,6.038907,0.286052,0.51,0.997046,0.170213,15.404879,423,121,100,51,49,0.38114275939641323,0.20088725364685325,,
25,6.094642,0.271186,0.423423,0.996815,0.116223,15.535424,413,112,111,47,64,0.3875087191463574,0.26664077984105905,,
26,6.093184,0.281481,0.444444,0.997021,0.158025,15.413735,405,114,90,40,50,0.3815746163330464,0.2649200770330498,,
27,6.255628,0.265306,0.436893,0.996696,0.117347,15.743545,392,104,103,45,58,0.39765758850879757,0.45656209441307466,,
28,6.337878,0.280788,0.428571,0.996808,0.162562,15.895608,406,114,84,36,48,0.40507286582744223,0.5535955278044579,,
29,6.325887,0.252475,0.459184,0.996774,0.121287,16.313562,404,102,98,45,53,0.425454135160642,0.539448794934396,,
