ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,5.343324,0.484581,0.352459,0.992342,0.136564,18.761876,227,110,122,43,79,0.3409154446881793,0.4448332555754527,,
1,5.273455,0.49187,0.407767,0.993346,0.243902,18.135415,246,121,103,42,61,0.32217934913607105,0.38385641446936086,,
2,5.736752,0.510121,0.43609,0.990513,0.206478,19.588734,247,126,133,58,75,0.36564497391175865,0.7881900464386455,,
3,5.843126,0.36194,0.367347,0.992139,0.130597,18.093832,268,97,98,36,62,0.32093568787786037,0.8810263303225487,,
4,5.374413,0.4125,0.414894,0.993532,0.183333,16.829812,240,99,94,39,55,0.28313159157020173,0.47196567300773196,,
5,5.565891,0.465649,0.434783,0.991705,0.217557,18.60741,262,122,115,50,65,0.33629569069043225,0.6390741243905038,,
6,5.457739,0.427481,0.38843,0.991683,0.145038,18.869832,262,112,121,47,74,0.344144170440226,0.544686975832533,,
7,5.498332,0.466667,0.402062,0.992514,0.225,18.692944,240,112,97,39,58,0.3388538262464496,0.580113384399064,,
8,5.559039,0.416974,0.443396,0.992041,0.199262,19.137598,271,113,106,47,59,0.35215246729284844,0.6330944271990188,,
9,5.764269,0.448,0.462185,0.992283,0.192,18.737454,250,112,119,55,64,0.34018503219326257,0.8122051891663784,,
10,5.446464,0.401606,0.416667,0.993101,0.204819,18.160906,249,100,84,35,49,0.32294171982288883,0.5348462952263885,,
11,5.128153,0.514644,0.424528,0.992742,0.259414,18.637326,239,123,106,45,61,0.337190416893083,0.25704623048091785,,
12,5.243473,0.436,0.391753,0.992812,0.2,17.914331,250,109,97,38,59,0.3155671864148725,0.35769007946275116,,
13,5.248906,0.407115,0.467391,0.993088,0.213439,18.127156,253,103,92,43,49,0.3219323219157639,0.3624317157969145,,
14,5.360136,0.460674,0.4,0.991652,0.168539,18.253846,267,123,130,52,78,0.3257213623989187,0.4595053459473849,,
15,5.157322,0.432653,0.45,0.992693,0.297959,18.081519,245,106,60,27,33,0.3205674178753434,0.2825028506090276,,
16,5.515464,0.452282,0.385417,0.992094,0.207469,18.522031,241,109,96,37,59,0.3337421884245095,0.5950648061119359,,
17,5.358295,0.444934,0.40625,0.992247,0.193833,18.394747,227,101,96,39,57,0.32993540330717,0.4578990038843205,,
18,5.60113,0.479339,0.445455,0.990879,0.227273,19.132937,242,116,110,49,61,0.35201306939866234,0.6698286752275003,,
19,5.343375,0.453441,0.421687,0.99187,0.259109,19.005431,247,112,83,35,48,0.3481996299012413,0.44487737523558124,,
20,5.53691,0.412451,0.447619,0.992103,0.18677,18.211453,257,106,105,47,58,0.3244534676947789,0.6137820349629102,,
21,5.275212,0.41791,0.470588,0.992872,0.216418,18.42217,268,112,102,48,54,0.33075557025633195,0.38538959466134626,,
22,5.647886,0.460076,0.395522,0.992023,0.152091,19.223923,263,121,134,53,81,0.3547342673568556,0.7106338031973675,,
23,5.313237,0.430233,0.401961,0.993073,0.193798,17.827892,258,111,102,41,61,0.3129820088678758,0.4185753190870886,,
24,5.218737,0.423664,0.425287,0.992563,0.232824,18.126824,262,111,87,37,50,0.32192239966646957,0.336101709070592,,
25,5.565087,0.446281,0.373134,0.991842,0.099174,19.456248,242,108,134,50,84,0.36168260894972115,0.6383728647896296,,
26,5.204603,0.454198,0.438095,0.993886,0.229008,17.272705,262,119,105,46,59,0.296377559852638,0.323766518087542,,
27,5.469656,0.46332,0.37594,0.992494,0.142857,18.974811,259,120,133,50,83,0.3472838716343682,0.5550868800517177,,
28,5.431735,0.47451,0.467626,0.992835,0.184314,18.282064,255,121,139,65,74,0.3265652866609629,0.5219920321484544,,
29,5.287634,0.440816,0.466667,0.992925,0.277551,17.738012,245,108,75,35,40,0.31029389130999413,0.39623059895672136,,
