ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,5.532819,0.502392,0.410714,0.991886,0.186603,18.885988,209,105,112,46,66,0.3388098583354505,0.82402812638295,,
1,5.65379,0.473684,0.46789,0.992048,0.168421,18.387895,190,90,109,51,58,0.32378074878986934,0.9665969125545832,,
2,5.585451,0.522124,0.439024,0.991415,0.216814,19.910416,226,118,123,54,69,0.36972024436437717,0.8860569353446227,,
3,5.414219,0.393035,0.44898,0.992352,0.258706,19.687538,201,79,49,22,27,0.36299529029719735,0.6842537624217724,,
4,5.310706,0.486239,0.414894,0.99259,0.233945,18.545833,218,106,94,39,55,0.32854626280294075,0.5622599730463451,,
5,5.69782,0.46,0.44898,0.992931,0.19,19.118369,200,92,98,44,54,0.3458215743729085,1.0,,
6,4.884394,0.396135,0.457143,0.993198,0.304348,17.298029,207,82,35,16,19,0.29653491097740703,0.058750557878437734,,
7,5.398505,0.492611,0.426829,0.992168,0.261084,18.997562,203,100,82,35,47,0.3474076770805737,0.6536495617810154,,
8,5.29071,0.455,0.432432,0.993296,0.245,18.673004,200,91,74,32,42,0.3376925634940785,0.5289159865045674,,
9,5.634048,0.563981,0.424242,0.991408,0.203791,18.75965,211,119,132,56,76,0.3402861806719408,0.9262063313408467,,
10,5.32942,0.543147,0.435185,0.992094,0.233503,18.742599,197,107,108,47,61,0.3397757697676147,0.5737090203940003,,
11,5.315324,0.475728,0.471698,0.993194,0.203883,17.875693,206,98,106,50,56,0.31382636256223434,0.5573972285230163,,
12,5.36373,0.473171,0.478873,0.992304,0.292683,19.140827,205,97,71,34,37,0.35169608099261873,0.6134098328501482,,
13,5.97945,0.474178,0.37931,0.991264,0.13615,19.415797,213,101,116,44,72,0.3599268537354998,1.0,,
14,5.243949,0.479638,0.451613,0.992054,0.248869,18.908747,221,106,93,42,51,0.34474914443399934,0.35810499152359315,,
15,5.386798,0.515464,0.417582,0.991966,0.242268,18.96388,194,100,91,38,53,0.3463994618733761,0.48277406731061734,,
16,5.250365,0.545455,0.589744,0.992555,0.383838,18.682417,198,108,78,46,32,0.3385389888925834,0.36370495281883913,,
17,5.29428,0.434146,0.392857,0.993213,0.185366,18.429473,205,89,84,33,51,0.33097397738022105,0.40203079677992787,,
18,5.398897,0.52551,0.458824,0.991352,0.290816,18.73317,196,103,85,39,46,0.3400569074050946,0.4933334913456483,,
19,5.37588,0.411168,0.459016,0.993398,0.243655,17.526011,197,81,61,28,33,0.30395338123255894,0.47324593543462623,,
20,5.27323,0.470874,0.465753,0.992615,0.281553,17.166783,206,97,73,34,39,0.29320964168621977,0.38365970559566276,,
21,5.437169,0.607143,0.464912,0.991988,0.295918,18.72543,196,119,114,53,61,0.33982540945536355,0.5267344242179057,,
22,5.169623,0.399061,0.532258,0.992472,0.262911,17.97138,213,85,62,33,29,0.31727341750378824,0.2932383127846812,,
23,5.214696,0.472637,0.337838,0.992699,0.228856,18.335273,201,95,74,25,49,0.3281566551007291,0.33257497797154323,,
24,5.491661,0.510417,0.483871,0.991623,0.260417,19.116384,192,98,93,45,48,0.3515180135307033,0.574291737723945,,
25,5.28117,0.50495,0.513889,0.99174,0.331683,18.45187,202,102,72,37,35,0.3316438438482824,0.3905896296223218,,
26,5.129706,0.462687,0.421875,0.993977,0.278607,17.385758,201,93,64,27,37,0.2997587126305522,0.2584014714564698,,
27,5.286377,0.520408,0.415094,0.992558,0.204082,17.992582,196,102,106,44,62,0.3179075330471782,0.3951336656308589,,
28,5.300493,0.528497,0.44186,0.992678,0.279793,17.572575,193,102,86,38,48,0.30534600380513244,0.40745282712043307,,
29,5.370729,0.549451,0.469136,0.991833,0.313187,18.954982,182,100,81,38,43,0.346690817309891,0.4687501183570019,,
