ep,avg_latency_ms,place_rate,fo_hit_rate,rel_pred_avg,emp_avail,avg_cost_total,attempted,placed,fo_cnt,fo_hit,fo_miss,cost_norm,lat_norm,topo_size,sfc_len_group
0,5.411452,0.404054,0.385075,0.99253,0.125676,18.38605,740,299,335,129,206,0.3383698040249658,0.5042903449072855,,
1,5.32761,0.373599,0.4,0.992896,0.138232,17.65189,803,300,315,126,189,0.31775193892719006,0.43111866349964734,,
2,5.522502,0.409387,0.353425,0.992837,0.101695,18.497246,767,314,365,129,236,0.3414925780405474,0.6012072892517706,,
3,5.554391,0.411688,0.384817,0.992362,0.106494,18.675957,770,317,382,147,235,0.34651142715141464,0.6290378793135478,,
4,5.49487,0.418338,0.379501,0.992391,0.097421,19.033097,698,292,361,137,224,0.35654120676386225,0.5770917702721848,,
5,5.519787,0.411842,0.428571,0.992134,0.159211,19.056765,760,313,336,144,192,0.35720588959020755,0.5988377383278768,,
6,5.302633,0.41337,0.350158,0.992795,0.132333,18.242556,733,303,317,111,206,0.33433997608611676,0.40932094289599646,,
7,5.40972,0.414921,0.387006,0.991607,0.13089,18.52212,764,317,354,137,217,0.3421911432611675,0.5027788670530802,,
8,5.499739,0.425676,0.403409,0.992439,0.141892,18.848419,740,315,352,142,210,0.3513547903608622,0.5813409889015412,,
9,5.433066,0.411921,0.375,0.99266,0.100662,18.502626,755,311,376,141,235,0.34164366522000705,0.5231540063673562,,
10,5.445415,0.387009,0.429032,0.992534,0.147497,18.551151,739,286,310,133,177,0.343006419266479,0.5339313927392415,,
11,5.457453,0.382275,0.363897,0.992582,0.088624,18.421605,756,289,349,127,222,0.33936831948286833,0.544436576227623,,
12,5.445088,0.394207,0.382609,0.992419,0.125945,18.713322,794,313,345,132,213,0.3475607851740162,0.5336454436190468,,
13,5.575072,0.354497,0.40625,0.992832,0.128307,18.892916,756,268,288,117,171,0.3526044194592831,0.6470867899826518,,
14,5.539571,0.398427,0.415042,0.992054,0.123198,18.681739,763,304,359,149,210,0.34667381630128397,0.6161037384559488,,
15,5.389147,0.394771,0.411765,0.992149,0.146405,18.746766,765,302,323,133,190,0.3484999943572549,0.4848242726470701,,
16,5.575164,0.386852,0.375,0.99253,0.115044,18.814028,791,306,344,129,215,0.35038896875719505,0.6471671676084239,,
17,5.409451,0.422709,0.389049,0.992053,0.132695,18.38984,731,309,347,135,212,0.33847624608434657,0.5025443254688547,,
18,5.426993,0.376486,0.337461,0.992969,0.093791,18.133357,757,285,323,109,214,0.331273267219995,0.5178536737131593,,
19,5.373336,0.384196,0.361564,0.992404,0.117166,18.488449,734,282,307,111,196,0.341245543518937,0.47102577923066435,,
20,5.523014,0.376658,0.429487,0.992357,0.140584,18.717601,754,284,312,134,178,0.34768095754522627,0.6016540876429884,,
21,5.450645,0.377717,0.344156,0.993039,0.103261,18.250521,736,278,308,106,202,0.3345636563295559,0.5384952164486956,,
22,5.432165,0.408912,0.382022,0.99275,0.120577,18.454345,763,312,356,136,220,0.34028776648900044,0.5223676776615436,,
23,5.477565,0.379781,0.437288,0.992437,0.153005,18.567203,732,278,295,129,166,0.3459806139521601,0.5619893173576558,,
24,5.523041,0.373995,0.406557,0.992105,0.131367,18.515812,746,279,305,124,181,0.344542926162976,0.6016774660141255,,
25,5.524759,0.403204,0.358166,0.992246,0.104139,18.012542,749,302,349,125,224,0.3304636122377591,0.6031772263189715,,
26,5.334658,0.388815,0.360947,0.992918,0.101198,17.712414,751,292,338,122,216,0.32206733132672954,0.4372698988604791,,
27,5.4787,0.381649,0.395973,0.992143,0.142287,19.084151,752,287,298,118,180,0.360442580744066,0.5629798168634328,,
28,5.61971,0.414326,0.389535,0.991563,0.119382,19.259085,712,295,344,134,210,0.3653364760636323,0.68604406583879,,
29,5.586004,0.400534,0.392371,0.992156,0.102804,18.513429,749,300,367,144,223,0.3444762450418186,0.6566272778822217,,
