steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL
100,0.8365554,0.7705282666666666,0.8678269666666669,0.8087303666666668,0.7760712666666666,0.6828632999999997
200,0.7877789666666666,0.5678838333333334,0.6745563666666666,0.5853105666666667,0.5609211666666666,0.4531603999999998
300,0.7282745999999999,0.4460347666666667,0.5248682666666666,0.4602154333333333,0.4364806,0.3568079666666666
400,0.7323319666666666,0.4046795666666666,0.4694236666666667,0.4067043333333333,0.3870216333333333,0.3199976
500,0.7065234666666668,0.3671208000000001,0.4292902333333333,0.3708179,0.3526290666666665,0.2926991333333333
600,0.7197568666666665,0.3571373,0.4221459333333333,0.3612243333333333,0.3485466333333333,0.2891053
700,0.7181311666666669,0.3531460333333333,0.4203839,0.3606293333333333,0.3422192333333334,0.2812731
800,0.7289478333333331,0.3515349666666666,0.4173996666666666,0.3484888,0.3313959666666666,0.2734579666666666
900,0.7036824333333336,0.3401352333333333,0.4084005999999999,0.3457192,0.3279308333333333,0.2751746333333333
1500,0.6950191333333333,0.3255455999999999,0.3885754999999999,0.3249776666666666,0.3115457666666666,0.2579657666666666
2000,0.6963217999999999,0.3160202666666666,0.3777240666666667,0.3169871999999999,0.3027265,0.2487628666666667
