steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL
100,4.161897833333333,4.367791333333334,4.257658866666667,4.251551266666668,4.347180966666667,6.425682800000001
200,4.174306866666666,4.335719666666666,4.386181133333333,4.256376033333334,4.309570033333333,6.2934502666666665
300,4.190258966666667,4.289575766666668,4.447910233333333,4.285166433333333,4.242838766666666,6.259833866666665
400,4.223967466666667,4.321871333333334,4.498854033333333,4.339278966666667,4.260401266666666,6.2260597
500,4.266362866666666,4.3238132,4.5274747,4.3589686,4.296294866666667,6.2240349
600,4.2720940333333335,4.327752066666665,4.5935991666666665,4.376584033333333,4.310684766666666,6.2180839666666685
700,4.2825402666666665,4.298859199999999,4.5964602,4.3600416,4.269697766666666,6.233521233333335
800,4.249279366666666,4.301441366666666,4.603872700000001,4.348266433333333,4.2824085,6.189958
900,4.267582366666667,4.297231366666667,4.6304308333333335,4.3635557,4.292540766666667,6.192698699999999
1500,4.2836056,4.290654366666667,4.6551648000000005,4.3820193,4.3324411666666665,6.144202066666666
2000,4.315132533333334,4.303466799999999,4.702097033333334,4.413561233333334,4.3434616,6.150210166666667
