steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL,BEAR,BEAR-FULL
100,0.5093254,0.0,0.5760761666666666,0.5762638333333333,0.5762638333333333,0.6597051333333332,0.5960653666666665,0.6585033666666665
200,0.5514759,0.0,0.5363480333333333,0.4936801333333333,0.4938437333333334,0.5763075000000001,0.49473590000000006,0.5540418666666667
300,0.4014292,0.0,0.41767793333333336,0.4101331333333333,0.4120175333333334,0.48971670000000006,0.4202725666666666,0.476101
400,0.4171595333333334,0.0,0.4244892,0.40214029999999995,0.4067180333333334,0.45285243333333336,0.4127135333333332,0.44841053333333336
500,0.3738636,0.0,0.36477583333333335,0.3589375333333333,0.3632928333333333,0.43075923333333344,0.3662833,0.4193666666666667
600,0.3926468,0.0,0.39651983333333324,0.38544503333333335,0.3855987333333333,0.44784549999999995,0.3813939333333333,0.4272618666666667
700,0.3777348333333333,0.0,0.4020154999999999,0.39532886666666667,0.39004520000000004,0.44018533333333326,0.3879948333333333,0.42285553333333337
800,0.37054410000000004,0.0,0.3804158666666667,0.37419779999999997,0.3792493666666667,0.4433114,0.3812838999999999,0.42169629999999997
900,0.35816516666666665,0.0,0.3571017,0.3548146666666666,0.3486070666666667,0.4216006333333333,0.3520658,0.4000979666666666
1500,0.34343293333333336,0.0,0.35193013333333334,0.33982946666666675,0.34412696666666664,0.4111113,0.34464306666666655,0.3871711
2000,0.3425556666666667,0.0,0.3492678,0.3390465666666667,0.3445267000000001,0.41159999999999997,0.3466845666666666,0.390052
