steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL,BEAR,BEAR-FULL
100,0.7459358666666668,0.2976855333333333,0.8139100333333334,0.7593889333333333,0.7267300000000001,0.6262697333333332,0.7318471666666666,0.7591974333333334
200,0.5030965333333334,0.069671,0.5741215000000001,0.4999200666666666,0.4748236333333333,0.3663200333333333,0.4781883666666667,0.49874159999999995
300,0.3525545,0.09692996666666669,0.3850607999999999,0.35075346666666657,0.3237868666666667,0.23221979999999995,0.3212551,0.3325601666666666
400,0.28576366666666664,0.041965499999999996,0.3052165,0.27496716666666665,0.25392893333333333,0.17788733333333331,0.25190846666666666,0.24889166666666665
500,0.2368212,0.043853600000000006,0.24981763333333334,0.23258506666666665,0.21148376666666666,0.14769773333333333,0.21073433333333336,0.20087966666666665
600,0.22206203333333335,0.043373699999999994,0.24185059999999997,0.2257918,0.20771596666666667,0.1443712,0.20573500000000003,0.19258243333333333
700,0.21536066666666664,0.03695166666666667,0.24183156666666666,0.22677129999999998,0.20212393333333337,0.14053446666666666,0.20292349999999998,0.18518169999999998
800,0.2113353,0.0284104,0.2280672666666667,0.2141364333333333,0.1931387333333333,0.13201883333333334,0.19268196666666668,0.1706769333333334
900,0.18758453333333333,0.019606799999999997,0.19815790000000003,0.19430046666666667,0.17256460000000004,0.11509863333333333,0.1734877333333333,0.15134516666666664
1500,0.16098223333333334,0.018703266666666666,0.17324440000000005,0.17128150000000003,0.15060886666666665,0.09407503333333335,0.14995103333333332,0.12239273333333332
2000,0.1498609,0.011286866666666668,0.1597936,0.16345743333333335,0.14277713333333333,0.08749083333333335,0.14138066666666665,0.1096861
