steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL,BEAR,BEAR-FULL
100,0.7705282666666666,0.8365554,0.8678269666666669,0.8087303666666668,0.7760712666666666,0.6828632999999997,0.7811883666666667,0.8422443333333334
200,0.5678838333333334,0.7877789666666666,0.6745563666666666,0.5853105666666667,0.5609211666666666,0.45316039999999985,0.5661763999999999,0.6586468999999998
300,0.44603476666666675,0.7282745999999999,0.5248682666666666,0.46021543333333337,0.43648060000000005,0.35680796666666664,0.43786153333333344,0.5363160333333333
400,0.4046795666666666,0.7323319666666666,0.4694236666666667,0.4067043333333333,0.38702163333333334,0.3199976,0.3884738333333333,0.4882977
500,0.3671208000000001,0.7065234666666668,0.4292902333333333,0.3708179,0.35262906666666655,0.2926991333333333,0.35419836666666665,0.44639766666666675
600,0.3571373,0.7197568666666665,0.42214593333333333,0.36122433333333337,0.34854663333333336,0.2891053,0.3503091333333333,0.44157396666666665
700,0.3531460333333333,0.7181311666666669,0.4203839,0.36062933333333336,0.3422192333333334,0.28127310000000005,0.3459758,0.42801723333333336
800,0.3515349666666666,0.7289478333333331,0.41739966666666667,0.34848880000000004,0.33139596666666665,0.27345796666666666,0.33455253333333335,0.42183129999999996
900,0.34013523333333334,0.7036824333333336,0.40840059999999995,0.34571920000000006,0.32793083333333334,0.2751746333333333,0.33039696666666657,0.41454969999999997
1500,0.32554559999999994,0.6950191333333333,0.3885754999999999,0.3249776666666666,0.31154576666666667,0.25796576666666665,0.3133883333333333,0.3960605333333334
2000,0.31602026666666666,0.6963217999999999,0.3777240666666667,0.31698719999999997,0.3027265,0.2487628666666667,0.303947,0.38855499999999993
