steps,BEAR-SFC,PRANOS,MP-DCBJOH,SBD,OPTSEP,DRL,BEAR,BEAR-FULL
100,14.332214100000003,14.3825996,14.368579333333335,13.888852466666666,14.224866433333334,16.101980700000002,14.461319366666665,18.84771436666667
200,14.221980266666666,14.380097066666663,14.496790166666669,13.703314199999996,14.091087033333334,15.928309766666665,14.255568266666668,18.586597299999994
300,14.146063566666665,14.400541666666665,14.603604766666669,13.473001766666666,13.96368913333333,15.986508933333331,14.1424942,18.75240823333333
400,14.153281333333332,14.465874233333334,14.643049066666666,13.574338033333333,14.050071033333332,15.884749633333334,14.186708866666665,18.545197166666664
500,14.208034133333335,14.595097366666664,14.739566733333334,13.6181444,14.116231266666668,16.08678886666667,14.23924846666667,18.44070796666667
600,14.1029948,14.485109966666668,14.7295925,13.552430633333332,14.035038300000004,15.909241266666667,14.108525766666668,18.511913666666665
700,14.095516900000002,14.478995800000002,14.779455966666665,13.492737466666666,14.0258202,15.9602947,14.133231166666665,18.471533833333336
800,14.102887233333332,14.454376833333335,14.786844733333334,13.519252033333332,14.004238733333336,15.85307063333333,14.0831966,18.593925333333335
900,14.100249133333334,14.538494733333334,14.852522166666667,13.518791766666668,14.0250639,15.951716833333336,14.127224233333331,18.394174899999996
1500,14.175740766666665,14.521075566666667,14.84620603333333,13.4648241,13.9837191,15.834290000000001,14.098744033333334,18.544566733333333
2000,14.125201466666669,14.5253581,14.9306078,13.462358166666665,14.014108,15.842583233333333,14.094425066666666,18.47639426666667
